"죄종별","마약류상용여부별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"병역범죄","마약류","범죄자[명]","명","5","7","13","5","1","","3","3","6","1",
"병역범죄","마약","범죄자[명]","명","2","5","10","2","","","1","1","5","-",
"병역범죄","대마","범죄자[명]","명","","2","","2","","","1","1","1","-",
"병역범죄","향정신성의약품","범죄자[명]","명","3","","3","1","1","","1","1","-","1",
"병역범죄","본드·신나등","범죄자[명]","명","","1","","","1","","1","-","-","-",
"병역범죄","알코올","범죄자[명]","명","21","12","13","10","2","","-","4","3","-",
"병역범죄","해당무","범죄자[명]","명","22726","17127","21361","17693","17457","14998","13976","12632","11239","2877",
"병역범죄","미상","범죄자[명]","명","","1212","1813","815","780","661","594","615","561","286",
"기타범죄","계","범죄자[명]","명","224781","208432","213524","230854","241747","310870","272830","247023","256000","244539",
"기타범죄","마약류","범죄자[명]","명","102","89","87","72","47","27","30","100","96","90",
"기타범죄","마약","범죄자[명]","명","26","16","35","21","6","5","4","31","27","26",
"기타범죄","대마","범죄자[명]","명","11","6","6","6","2","2","2","16","20","11",
"기타범죄","향정신성의약품","범죄자[명]","명","65","67","46","45","39","20","24","53","49","53",
"기타범죄","본드·신나등","범죄자[명]","명","1213","1059","568","273","186","187","186","208","298","133",
"기타범죄","알코올","범죄자[명]","명","5496","5339","5360","6305","4947","5085","4693","5073","5332","5132",
"기타범죄","해당무","범죄자[명]","명","217970","158540","160793","172512","177890","234633","200012","169993","173922","162908",
"기타범죄","미상","범죄자[명]","명","","43405","46716","51692","58677","70938","67909","71649","76352","76276",
