"시설명","지점명","날짜","시간","PM10단위","PM10기준치","PM10측정값","PM10측정기","PM10D/L","CO2단위","CO2기준치","CO2측정값","CO2측정기","CO2D/L","CO단위","CO기준치","CO측정값","CO측정기","COD/L","NO2단위","NO2기준치","NO2측정값","NO2측정기","NO2D/L"
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-09","","㎍/㎥","150","41","정상","","ppm","1000","529","정상","","ppm","10","0.7","정상","","ppm","0.05","0.056","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-09","","㎍/㎥","150","52","정상","","ppm","1000","545","정상","","ppm","10","0.6","정상","","ppm","0.05","0.048","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-09","","㎍/㎥","150","27","정상","","ppm","1000","605","정상","","ppm","10","0.7","정상","","ppm","0.05","0.047","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-09","","㎍/㎥","150","48","정상","","ppm","1000","588","정상","","ppm","10","0.8","정상","","ppm","0.05","0.062","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-08","","㎍/㎥","150","32","정상","","ppm","1000","466","정상","","ppm","10","0.4","정상","","ppm","0.05","0.037","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-08","","㎍/㎥","150","41","정상","","ppm","1000","518","정상","","ppm","10","0.4","정상","","ppm","0.05","0.041","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-08","","㎍/㎥","150","18","정상","","ppm","1000","529","정상","","ppm","10","0.5","정상","","ppm","0.05","0.035","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-08","","㎍/㎥","150","30","정상","","ppm","1000","482","정상","","ppm","10","0.4","정상","","ppm","0.05","0.046","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-07","","㎍/㎥","150","51","정상","","ppm","1000","478","정상","","ppm","10","0.3","정상","","ppm","0.05","0.025","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-07","","㎍/㎥","150","37","정상","","ppm","1000","460","정상","","ppm","10","0.4","정상","","ppm","0.05","0.031","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-07","","㎍/㎥","150","59","정상","","ppm","1000","543","정상","","ppm","10","0.4","정상","","ppm","0.05","0.029","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-07","","㎍/㎥","150","41","정상","","ppm","1000","550","정상","","ppm","10","0.5","정상","","ppm","0.05","0.034","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-06","","㎍/㎥","150","65","정상","","ppm","1000","583","정상","","ppm","10","0.5","정상","","ppm","0.05","0.034","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-06","","㎍/㎥","150","77","정상","","ppm","1000","481","정상","","ppm","10","0.4","정상","","ppm","0.05","0.032","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-06","","㎍/㎥","150","64","정상","","ppm","1000","626","정상","","ppm","10","0.5","정상","","ppm","0.05","0.034","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-06","","㎍/㎥","150","57","정상","","ppm","1000","482","정상","","ppm","10","0.5","정상","","ppm","0.05","0.038","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-03","","㎍/㎥","150","46","정상","","ppm","1000","728","정상","","ppm","10","0.6","정상","","ppm","0.05","0.045","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-03","","㎍/㎥","150","42","정상","","ppm","1000","509","정상","","ppm","10","0.5","정상","","ppm","0.05","0.045","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-03","","㎍/㎥","150","56","정상","","ppm","1000","551","정상","","ppm","10","0.4","정상","","ppm","0.05","0.04","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-03","","㎍/㎥","150","51","정상","","ppm","1000","646","정상","","ppm","10","0.7","정상","","ppm","0.05","0.044","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-30","","㎍/㎥","150","46","정상","","ppm","1000","574","정상","","ppm","10","0.8","정상","","ppm","0.05","0.056","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-30","","㎍/㎥","150","73","정상","","ppm","1000","529","정상","","ppm","10","0.5","정상","","ppm","0.05","0.051","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-30","","㎍/㎥","150","46","정상","","ppm","1000","520","정상","","ppm","10","0.6","정상","","ppm","0.05","0.056","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-30","","㎍/㎥","150","58","정상","","ppm","1000","606","정상","","ppm","10","0.8","정상","","ppm","0.05","0.055","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-27","","㎍/㎥","150","61","정상","","ppm","1000","543","정상","","ppm","10","0.9","정상","","ppm","0.05","0.069","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-27","","㎍/㎥","150","82","정상","","ppm","1000","580","정상","","ppm","10","0.9","정상","","ppm","0.05","0.064","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-27","","㎍/㎥","150","85","정상","","ppm","1000","625","정상","","ppm","10","1","정상","","ppm","0.05","0.064","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-27","","㎍/㎥","150","76","정상","","ppm","1000","549","정상","","ppm","10","0.8","정상","","ppm","0.05","0.06","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-03-24","","㎍/㎥","150","95","정상","","ppm","1000","508","정상","","ppm","10","0.7","정상","","ppm","0.05","0.057","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-24","","㎍/㎥","150","61","정상","","ppm","1000","558","정상","","ppm","10","1","정상","","ppm","0.05","0.068","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-03-24","","㎍/㎥","150","89","정상","","ppm","1000","596","정상","","ppm","10","0.9","정상","","ppm","0.05","0.068","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-03-24","","㎍/㎥","150","84","정상","","ppm","1000","533","정상","","ppm","10","0.8","정상","","ppm","0.05","0.07","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-03-23","","㎍/㎥","150","40","정상","","ppm","1000","553","정상","","ppm","10","0.9","정상","","ppm","0.05","0.061","정상",""
