"[AA]죄종별","죄종별","[BB]공범관계별","공범관계별","[Item]항목","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"0102","살인미수등","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","","","2","","","","-","-","-","-",
"0102","살인미수등","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","8","4","1","1","1","9","4","-","2","-",
"0102","살인미수등","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","1","9","6","6","5","","2","6","6","3",
"0102","살인미수등","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","2","","","","","-","-","-","-",
"0102","살인미수등","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","13","13","6","6","6","7","2","6","8","12",
"0102","살인미수등","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","6","4","12","7","3","4","5","3","-","-",
"0102","살인미수등","BB208","애인","BB1[14STD04548]","범죄자[명]","명","6","","5","4","","1","7","3","-","-",
"0102","살인미수등","BB209","기타","BB1[14STD04548]","범죄자[명]","명","35","30","29","19","15","18","24","28","19","20",
"0102","살인미수등","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","47","52","70","36","22","21","63","84","83",
"0103","강도","BB1","계","BB1[14STD04548]","범죄자[명]","명","4890","3322","2593","2078","1999","1716","1456","1165","1336","1202",
"0103","강도","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","2151","1220","980","880","924","770","686","529","463","387",
"0103","강도","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","1856","1393","1021","962","830","684","510","748","668",
"0103","강도","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","275","204","136","74","68","61","48","46","68","69",
"0103","강도","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","61","57","35","22","31","26","12","12","15","8",
"0103","강도","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","154","86","89","61","57","36","74","24","39","44",
"0103","강도","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","83","62","28","34","28","21","32","6","10","9",
"0103","강도","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","11","2","3","3","9","","-","-","-","-",
"0103","강도","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","921","668","503","386","397","343","245","218","374","321",
"0103","강도","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","116","107","74","50","61","46","51","32","56","17",
"0103","강도","BB208","애인","BB1[14STD04548]","범죄자[명]","명","63","31","30","16","22","28","30","18","22","20",
"0103","강도","BB209","기타","BB1[14STD04548]","범죄자[명]","명","1055","639","495","375","289","269","192","154","164","180",
"0103","강도","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","246","220","177","113","116","86","126","125","147",
"0104","강간·강제추행","BB1","계","BB1[14STD04548]","범죄자[명]","명","17652","18012","","","","","","","","",
"0104","강간·강제추행","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","15866","12244","","","","","","","","",
"0104","강간·강제추행","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","1670","","","","","","","","",
